Plant.Species,SLA,LDMC,SSD,Veg_rep,First_flower,Herbivory,Height_infl,Height_no_infl,Seed_mass,CN_ratio,PercentN
Solidago_nemoralis,145.7067822,0.409871211,0.338903179,0.788542297,244,2.571428571,116.3607143,108.3928571,2.56E-05,24.52666667,0.019166667
Solidago_rigida,110.7797534,0.345310774,0.393734022,0.838887494,228,2.25,72.975,69.425,0.000688569,29.56333333,0.015466667
Sonchus_arvensis,221.7521301,0.174421314,0.106604319,0.823518585,165,2.9375,52.1125,45.4875,0.000304287,24.38333333,0.017166667
Sonchus_oleraceus,193.7046597,0.188960007,0.131902088,0.905667251,183,7.75,112.25625,96.46875,0.00028322,15.59,0.026033333
Stellaria_media,270.085034,0.195193854,0.182857143,0.818400176,152,2.15,37.655,36.49,9.00E-05,14.76666667,0.028933333
Symphyotrichum_ericoides,160.5791246,0.305440516,0.360328329,0.892492307,254,5.222222222,78.02222222,77.22222222,8.02E-05,28.43666667,0.017833333
Symphyotrichum_lanceolatum,95,0.2375,0.331,0.827009738,233,1.25,77.8,76.45,6.08E-05,21.17,0.02035
Symphyotrichum_novae_angliae,189.9115646,0.301085828,0.314901632,0.910196887,263,0.785714286,96.05714286,95.78571429,0.000234892,20.02,0.024033333
Taraxacum_officinale,226.2423139,0.135073187,0,0.542433149,123,4,53.83928571,29.62241379,0.000463541,12.69666667,0.0331
Tragopogon_dubius,244.6889018,0.211845928,0.237023215,0.890960516,157,0.44,57.68,53.368,0.008986581,20.16,0.0211
Trifolium_pratense,177.72097,0.346505196,0.18590703,0.894229186,156,7.740740741,52.38518519,52.10740741,0.001189235,13.64,0.0304
Trifolium_repens,186.521361,0.285806471,0.173777778,0.759527614,164,3.384615385,24.65769231,17.18076923,0.000280489,16.575,0.02685
Verbascum_thapsus,164.5494999,0.288207548,0.231836378,0.710204375,178,20.30769231,138.9851852,107.3666667,6.19E-05,53.9,0.0086
Verbena_stricta,124.2422685,0.334561592,0.265357228,0.815488122,181,15.20833333,84.7,80.86666667,0.000293074,22.51666667,0.019466667
Veronica_arvensis,343.1468576,0.161066711,0.040833333,0.6972212,140,1.571428571,19.72142857,18.50357143,0.00038572,12.94,0.031333333
